login,20230609T1517
03 Time,03 Measurement,03 Setpoint,04 Time,04 Measurement,04 Setpoint
0,0.0,0.0,1,0.0,0.0
2,0.0,0.0,3,0.0,0.0
4,0.0,0.0,5,0.0,0.0
6,0.0,0.0,7,0.0,0.0
8,93.81875,100.0,9,0.0,0.0
11,99.9875,100.0,11,0.0,0.0
12,99.88125,100.0,13,0.0,0.0
14,99.853125,100.0,15,0.0,0.0
16,99.890625,100.0,17,0.0,0.0
18,99.921875,100.0,19,0.0,0.0
21,99.934375,100.0,21,0.0,0.0
23,0.0,0.0,24,0.0,0.0
25,0.0,0.0,26,0.0,0.0
27,0.0,0.0,28,396.5875,100.0
29,0.0,0.0,30,398.85,100.0
31,0.0,0.0,32,399.6375,100.0
33,0.0,0.0,34,399.75,100.0
35,0.0,0.0,36,0.0,0.0
