login,20230609T1609
03 Time,03 Measurement,03 Setpoint,04 Time,04 Measurement,04 Setpoint
1686319552,0.0,0.0,1686319552,0.0,0.0
1686319554,0.0,0.0,1686319554,0.0,0.0
1686319556,0.0,0.0,1686319556,0.0,0.0
2,0.0,0.0,3,398.65,100.0
4,0.0,0.0,5,399.35,100.0
6,0.0,0.0,7,399.5625,100.0
8,0.0,0.0,9,399.8125,100.0
11,0.0,0.0,11,399.7125,100.0
2,84.259375,85.0,2,0.0,0.0
4,84.828125,85.0,4,0.0,0.0
6,84.896875,85.0,6,0.0,0.0
8,84.903125,85.0,9,0.0,0.0
10,84.9125,85.0,10,0.0,0.0
12,84.93125,85.0,13,0.0,0.0
14,84.9625,85.0,15,0.0,0.0
17,84.959375,85.0,17,0.0,0.0
19,84.9625,85.0,19,0.0,0.0
21,84.96875,85.0,21,0.0,0.0
2,0.0,0.0,3,398.7375,100.0
4,0.0,0.0,5,399.525,100.0
7,0.0,0.0,7,399.725,100.0
9,0.0,0.0,9,399.8875,100.0
11,0.0,0.0,11,399.7125,100.0
3,84.40625,85.0,3,0.0,0.0
5,84.93125,85.0,5,0.0,0.0
7,84.8875,85.0,7,0.0,0.0
9,84.903125,85.0,9,0.0,0.0
11,84.934375,85.0,11,0.0,0.0
13,84.965625,85.0,13,0.0,0.0
15,84.95625,85.0,15,0.0,0.0
17,84.96875,85.0,17,0.0,0.0
19,84.971875,85.0,19,0.0,0.0
21,84.96875,85.0,21,0.0,0.0
2,0.0,0.0,3,398.8375,100.0
4,0.0,0.0,5,399.35,100.0
6,0.0,0.0,7,399.6,100.0
9,0.0,0.0,9,399.7,100.0
11,0.0,0.0,11,399.6875,100.0
2,84.746875,85.0,3,0.0,0.0
5,84.959375,85.0,5,0.0,0.0
7,84.8875,85.0,7,0.0,0.0
9,84.9,85.0,9,0.0,0.0
11,84.93125,85.0,11,0.0,0.0
13,84.95,85.0,13,0.0,0.0
15,84.96875,85.0,15,0.0,0.0
17,84.9625,85.0,17,0.0,0.0
19,84.96875,85.0,19,0.0,0.0
21,84.984375,85.0,21,0.0,0.0
2,0.0,0.0,3,398.8,100.0
4,0.0,0.0,5,399.1875,100.0
6,0.0,0.0,7,399.725,100.0
8,0.0,0.0,9,399.7375,100.0
11,0.0,0.0,11,399.6875,100.0
3,84.25,85.0,3,0.0,0.0
5,84.9375,85.0,5,0.0,0.0
7,84.8875,85.0,7,0.0,0.0
9,84.909375,85.0,9,0.0,0.0
11,84.9375,85.0,11,0.0,0.0
13,84.953125,85.0,13,0.0,0.0
15,84.971875,85.0,15,0.0,0.0
17,84.9625,85.0,17,0.0,0.0
19,84.98125,85.0,19,0.0,0.0
21,84.975,85.0,21,0.0,0.0
2,0.0,0.0,3,398.6375,100.0
4,0.0,0.0,5,399.25,100.0
7,0.0,0.0,7,399.675,100.0
9,0.0,0.0,9,399.75,100.0
11,0.0,0.0,11,399.85,100.0
3,84.453125,85.0,3,0.0,0.0
5,84.928125,85.0,5,0.0,0.0
7,84.9,85.0,7,0.0,0.0
9,84.90625,85.0,9,0.0,0.0
11,84.93125,85.0,11,0.0,0.0
13,84.9625,85.0,13,0.0,0.0
15,84.9625,85.0,15,0.0,0.0
17,84.96875,85.0,17,0.0,0.0
19,84.98125,85.0,19,0.0,0.0
21,84.96875,85.0,21,0.0,0.0
2,0.0,0.0,3,398.75,100.0
4,0.0,0.0,5,399.3125,100.0
7,0.0,0.0,7,399.7375,100.0
9,0.0,0.0,9,399.8625,100.0
11,0.0,0.0,11,399.75,100.0
2,0.0,0.0,3,399.9875,100.0
5,0.0,0.0,5,399.7625,100.0
7,0.0,0.0,7,399.7,100.0
9,0.0,0.0,9,399.875,100.0
11,0.0,0.0,11,399.8625,100.0
13,0.0,0.0,13,0.0,0.0
15,0.0,0.0,15,0.0,0.0
17,0.0,0.0,17,0.0,0.0
19,0.0,0.0,19,0.0,0.0
21,0.0,0.0,21,0.0,0.0
23,0.0,0.0,23,0.0,0.0
25,0.0,0.0,25,0.0,0.0
27,0.0,0.0,27,0.0,0.0
29,0.0,0.0,29,0.0,0.0
31,0.0,0.0,31,0.0,0.0
33,0.0,0.0,33,0.0,0.0
35,0.0,0.0,35,0.0,0.0
37,0.0,0.0,37,0.0,0.0
39,0.0,0.0,39,0.0,0.0
41,0.0,0.0,41,0.0,0.0
43,0.0,0.0,43,0.0,0.0
45,0.0,0.0,45,0.0,0.0
